frame,id,cx,cy,x,y,w,h,proc_ms
1,0,1433,514,1359,486,149,56,133.639
2,0,1433,514,1359,486,149,56,5.933
3,0,1433,514,1359,486,149,56,5.352
4,0,1433,514,1359,486,149,56,5.408
5,0,1433,514,1359,486,149,56,5.728
6,0,1433,514,1359,486,149,56,5.482
7,0,1433,514,1359,486,149,56,5.495
8,0,1433,514,1359,486,149,56,5.731
9,0,1433,514,1359,486,149,56,5.24
10,0,1433,514,1359,486,149,56,137.438
11,0,1433,514,1359,486,149,56,5.517
12,0,1434,514,1360,486,149,56,6.19
13,0,1433,514,1359,486,149,56,6.54
14,0,1434,514,1360,486,149,56,6.457
15,0,1433,514,1359,486,149,56,6.44
16,0,1434,514,1360,486,149,56,5.826
17,0,1433,514,1359,486,149,56,6.132
18,0,1434,514,1360,486,149,56,5.726
19,0,1433,514,1359,486,149,56,5.569
20,0,1434,514,1360,486,149,56,140.41
21,0,1433,514,1359,486,149,56,5.761
22,0,1434,514,1360,486,149,56,6.186
23,0,1433,514,1359,486,149,56,5.523
24,0,1434,514,1360,486,149,56,5.432
25,0,1433,514,1359,486,149,56,6.25
26,0,1434,514,1360,486,149,56,6.159
27,0,1433,514,1359,486,149,56,6.071
28,0,1434,514,1360,486,149,56,5.544
29,0,1433,514,1359,486,149,56,6.846
30,0,1434,514,1360,486,149,56,156.294
31,0,1433,514,1359,486,149,56,5.936
32,0,1434,514,1360,486,149,56,5.57
33,0,1433,514,1359,486,149,56,5.534
34,0,1434,514,1360,486,149,56,5.622
35,0,1433,514,1359,486,149,56,5.851
36,0,1434,514,1360,486,149,56,5.847
37,0,1433,514,1359,486,149,56,5.814
38,0,1434,514,1360,486,149,56,5.853
39,0,1433,514,1359,486,149,56,6.764
40,0,1434,514,1360,486,149,56,153.623
41,0,1433,514,1359,486,149,56,5.419
42,0,1434,514,1360,486,149,56,5.08
43,0,1433,514,1359,486,149,56,5.462
44,0,1434,514,1360,486,149,56,5.362
45,0,1433,514,1359,486,149,56,5.16
46,0,1434,514,1360,486,149,56,5.195
47,0,1433,514,1359,486,149,56,5.908
48,0,1434,514,1360,486,149,56,5.235
49,0,1433,514,1359,486,149,56,5.426
50,0,1434,514,1360,486,149,56,105.525
51,0,1433,514,1359,486,149,56,6.084
52,0,1434,514,1360,486,149,56,6.257
53,0,1433,514,1359,486,149,56,5.36
54,0,1434,514,1360,486,149,56,5.031
55,0,1433,514,1359,486,149,56,5.061
56,0,1434,514,1360,486,149,56,5.274
57,0,1433,514,1359,486,149,56,5.849
58,0,1434,514,1360,486,149,56,5.515
59,0,1433,514,1359,486,149,56,5.808
60,0,1434,514,1360,486,149,56,133.869
61,0,1433,514,1359,486,149,56,5.884
62,0,1434,514,1360,486,149,56,7.882
63,0,1433,514,1359,486,149,56,7.533
64,0,1434,514,1360,486,149,56,5.872
65,0,1433,514,1359,486,149,56,6.192
66,0,1434,514,1360,486,149,56,6.016
67,0,1433,514,1359,486,149,56,5.157
68,0,1434,514,1360,486,149,56,5.451
69,0,1433,514,1359,486,149,56,5.213
70,0,1434,514,1360,486,149,56,134.672
71,0,1433,514,1359,486,149,56,5.556
72,0,1434,514,1360,486,149,56,5.929
73,0,1433,514,1359,486,149,56,5.328
74,0,1434,514,1360,486,149,56,5.605
75,0,1433,514,1359,486,149,56,5.587
76,0,1434,514,1360,486,149,56,5.404
77,0,1433,514,1359,486,149,56,5.121
78,0,1434,514,1360,486,149,56,5.389
79,0,1433,514,1359,486,149,56,5.82
80,0,1434,514,1360,486,149,56,126.926
81,0,1433,514,1359,486,149,56,5.825
82,0,1434,514,1360,486,149,56,5.246
83,0,1433,514,1359,486,149,56,6.965
84,0,1434,514,1360,486,149,56,6.024
85,0,1433,514,1359,486,149,56,5.825
86,0,1434,514,1360,486,149,56,5.415
87,0,1433,514,1359,486,149,56,5.467
88,0,1434,514,1360,486,149,56,5.41
89,0,1433,514,1359,486,149,56,6.146
90,0,1434,514,1360,486,149,56,122.286
91,0,1433,514,1359,486,149,56,6.067
92,0,1434,514,1360,486,149,56,8.136
93,0,1433,514,1359,486,149,56,7.423
94,0,1434,514,1360,486,149,56,5.445
95,0,1433,514,1359,486,149,56,5.608
96,0,1434,514,1360,486,149,56,7.56
97,0,1433,514,1359,486,149,56,6.717
98,0,1434,514,1360,486,149,56,5.37
99,0,1433,514,1359,486,149,56,5.125
100,0,1434,514,1360,486,149,56,166.657
101,0,1433,514,1359,486,149,56,5.388
102,0,1434,514,1360,486,149,56,5.21
103,0,1433,514,1359,486,149,56,5.722
104,0,1434,514,1360,486,149,56,5.383
105,0,1433,514,1359,486,149,56,5.596
106,0,1434,514,1360,486,149,56,5.312
107,0,1433,514,1359,486,149,56,5.506
108,0,1434,514,1360,486,149,56,5.543
109,0,1433,514,1359,486,149,56,7.532
110,0,1434,514,1360,486,149,56,171.792
111,0,1433,514,1359,486,149,56,5.766
112,0,1434,514,1360,486,149,56,5.865
113,0,1433,514,1359,486,149,56,5.49
114,0,1434,514,1360,486,149,56,5.845
115,0,1433,514,1359,486,149,56,5.307
116,0,1434,514,1360,486,149,56,5.812
117,0,1433,514,1359,486,149,56,5.429
118,0,1434,514,1360,486,149,56,6.9
119,0,1433,514,1359,486,149,56,5.427
120,0,1434,514,1360,486,149,56,154.669
121,0,1433,514,1359,486,149,56,6.322
122,0,1434,514,1360,486,149,56,5.969
123,0,1433,514,1359,486,149,56,5.899
124,0,1434,514,1360,486,149,56,6.633
125,0,1433,514,1359,486,149,56,6.276
126,0,1434,514,1360,486,149,56,6.175
127,0,1433,514,1359,486,149,56,5.815
128,0,1434,514,1360,486,149,56,5.971
129,0,1433,514,1359,486,149,56,5.641
130,0,1434,514,1360,486,149,56,170.514
131,0,1433,514,1359,486,149,56,5.479
132,0,1434,514,1360,486,149,56,5.934
133,0,1433,514,1359,486,149,56,5.914
134,0,1434,514,1360,486,149,56,5.647
135,0,1433,514,1359,486,149,56,5.201
136,0,1434,514,1360,486,149,56,5.851
137,0,1433,514,1359,486,149,56,6.644
138,0,1434,514,1360,486,149,56,8.405
139,0,1433,514,1359,486,149,56,6.417
140,0,1434,514,1360,486,149,56,160.071
141,0,1433,514,1359,486,149,56,6.96
142,0,1434,514,1360,486,149,56,5.871
143,0,1433,514,1359,486,149,56,6.435
144,0,1434,514,1360,486,149,56,6.014
145,0,1433,514,1359,486,149,56,5.518
146,0,1434,514,1360,486,149,56,5.611
147,0,1433,514,1359,486,149,56,5.956
148,0,1434,514,1360,486,149,56,6.174
149,0,1433,514,1359,486,149,56,5.673
150,0,1434,514,1360,486,149,56,167.716
151,0,1433,514,1359,486,149,56,6.233
152,0,1434,514,1360,486,149,56,5.877
153,0,1433,514,1359,486,149,56,5.327
154,0,1434,514,1360,486,149,56,5.193
155,0,1433,514,1359,486,149,56,6.483
156,0,1434,514,1360,486,149,56,5.634
157,0,1433,514,1359,486,149,56,5.83
158,0,1434,514,1360,486,149,56,5.939
159,0,1433,514,1359,486,149,56,5.511
160,0,1434,514,1360,486,149,56,173.557
161,0,1433,514,1359,486,149,56,5.667
162,0,1434,514,1360,486,149,56,5.795
163,0,1433,514,1359,486,149,56,5.6
164,0,1434,514,1360,486,149,56,5.823
165,0,1433,514,1359,486,149,56,5.281
166,0,1434,514,1360,486,149,56,5.794
167,0,1433,514,1359,486,149,56,5.494
168,0,1434,514,1360,486,149,56,5.548
169,0,1433,514,1359,486,149,56,5.952
170,0,1434,514,1360,486,149,56,174.847
171,0,1433,514,1359,486,149,56,6.081
172,0,1434,514,1360,486,149,56,5.943
173,0,1433,514,1359,486,149,56,5.559
174,0,1434,514,1360,486,149,56,5.362
175,0,1433,514,1359,486,149,56,5.42
176,0,1434,514,1360,486,149,56,5.934
177,0,1433,514,1359,486,149,56,5.62
178,0,1434,514,1360,486,149,56,5.853
179,0,1433,514,1359,486,149,56,6.19
180,0,1434,514,1360,486,149,56,108.953
181,0,1433,514,1359,486,149,56,5.255
182,0,1434,514,1360,486,149,56,5.507
183,0,1433,514,1359,486,149,56,5.609
184,0,1434,514,1360,486,149,56,5.426
185,0,1433,514,1359,486,149,56,6.552
186,0,1434,514,1360,486,149,56,6.031
187,0,1433,514,1359,486,149,56,5.677
188,0,1434,514,1360,486,149,56,5.414
189,0,1433,514,1359,486,149,56,5.615
190,0,1434,514,1360,486,149,56,102.263
191,0,1433,514,1359,486,149,56,6.013
192,0,1434,514,1360,486,149,56,7.712
193,0,1433,514,1359,486,149,56,5.974
194,0,1434,514,1360,486,149,56,5.93
195,0,1433,514,1359,486,149,56,5.639
196,0,1434,514,1360,486,149,56,5.723
197,0,1433,514,1359,486,149,56,6.03
198,0,1434,514,1360,486,149,56,5.986
199,0,1433,514,1359,486,149,56,5.516
