frame,id,cx,cy,x,y,w,h,proc_ms
0,0,746,316,679,283,135,66,231.563
1,0,746,316,679,283,135,66,11.01
2,0,746,316,679,283,135,66,9.836
3,0,746,316,679,283,135,66,9.984
4,0,746,316,679,283,135,66,11.623
5,0,746,316,679,283,135,66,9.209
6,0,746,316,679,283,135,66,10.263
7,0,746,316,679,283,135,66,9.323
8,0,746,316,679,283,135,66,9.166
9,0,746,316,679,283,135,66,8.921
10,0,746,316,679,283,135,66,171.069
11,0,745,316,678,283,135,66,7.813
12,0,746,316,679,283,135,66,8.126
13,0,745,316,678,283,135,66,8.263
14,0,746,316,679,283,135,66,8.269
15,0,745,316,678,283,135,66,18.444
16,0,746,316,679,283,135,66,8.028
17,0,745,316,678,283,135,66,13.613
18,0,746,316,679,283,135,66,9.881
19,0,745,316,678,283,135,66,10.286
20,0,746,316,679,283,135,66,175.02
21,0,745,316,678,283,135,66,7.941
22,0,746,316,679,283,135,66,6.89
23,0,745,316,678,283,135,66,6.663
24,0,746,316,679,283,135,66,6.827
25,0,745,316,678,283,135,66,6.861
26,0,746,316,679,283,135,66,6.308
27,0,745,316,678,283,135,66,6.252
28,0,746,316,679,283,135,66,6.615
29,0,745,316,678,283,135,66,6.929
30,0,746,316,679,283,135,66,171.364
31,0,745,316,678,283,135,66,8.034
32,0,746,316,679,283,135,66,8.037
33,0,745,316,678,283,135,66,7.491
34,0,746,316,679,283,135,66,6.815
35,0,745,316,678,283,135,66,7.442
36,0,746,316,679,283,135,66,8.407
37,0,745,316,678,283,135,66,6.606
38,0,746,316,679,283,135,66,7.347
39,0,745,316,678,283,135,66,8.176
40,0,746,316,679,283,135,66,131.642
41,0,745,316,678,283,135,66,7.87
42,0,746,316,679,283,135,66,6.414
43,0,745,316,678,283,135,66,6.814
44,0,746,316,679,283,135,66,10.22
45,0,745,316,678,283,135,66,9.493
46,0,746,316,679,283,135,66,8.265
47,0,745,316,678,283,135,66,7.908
48,0,746,316,679,283,135,66,7.424
49,0,745,316,678,283,135,66,7.426
50,0,746,316,679,283,135,66,159.776
51,0,745,316,678,283,135,66,6.542
52,0,746,316,679,283,135,66,5.818
53,0,745,316,678,283,135,66,6.404
54,0,746,316,679,283,135,66,6.809
55,0,745,316,678,283,135,66,8.488
56,0,746,316,679,283,135,66,6.044
57,0,745,316,678,283,135,66,6.655
58,0,746,316,679,283,135,66,6.906
59,0,745,316,678,283,135,66,6.129
60,0,746,316,679,283,135,66,184.864
61,0,745,316,678,283,135,66,5.936
62,0,746,316,679,283,135,66,6.421
63,0,745,316,678,283,135,66,6.561
64,0,746,316,679,283,135,66,6.974
65,0,745,316,678,283,135,66,7.296
66,0,746,316,679,283,135,66,7.18
67,0,745,316,678,283,135,66,6.818
68,0,746,316,679,283,135,66,7.036
69,0,745,316,678,283,135,66,7.258
70,0,746,316,679,283,135,66,247.052
